key_mlbam,key_bbref,key_bbref_minors,key_fangraphs,name_last,name_first,name_given,name_suffix,name_matrilineal,birth_year,birth_month,birth_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last
114909,gomezch02,gomez-001chr,1208,Gomez,Chris,Christopher Cory,,,1971,6,16,1992,2008,1993,2008
114913,gomezpa01,gomez-001pat,1004824,Gomez,Pat,Patrick Alexander,,,1968,3,17,1986,1995,1993,1995
400307,,gonzal001jim,NA,Gonzalez,Jimmy,Jimmy,,,1973,3,8,1991,2004,NA,NA
114935,gonzalu01,gonzal005lui,55,Gonzalez,Luis,Luis Emilio,,,1967,9,3,1988,2008,1990,2008
114947,goodedw01,gooden001dwi,1004852,Gooden,Dwight,Dwight Eugene,,,1964,11,16,1982,2000,1984,2000
114961,goodwto01,goodwi001tho,1114,Goodwin,Tom,Thomas Jones,,,1968,7,27,1989,2005,1991,2004
114968,gordoke01,gordon001kei,1004875,Gordon,Keith,Keith Bradley,,,1969,1,22,1990,2002,1993,1993
114981,gormato03,gorman003tho,1004887,Gorman,Tom,Thomas Patrick,,,1957,12,16,1980,1988,1981,1987
346848,grabojo02,grabow001joh,1848,Grabow,John,John William,,,1978,11,4,1997,2011,2003,2011
276543,graboja01,grabow001jas,1604,Grabowski,Jason,Jason William,,,1976,5,24,1997,2006,2002,2005
445671,,graham002tho,NA,Graham,Tom,Thomas Matthew,,,1978,1,26,2000,2003,NA,NA
115035,grahejo01,grahe-001jos,1004939,Grahe,Joe,Joseph Milton,,,1967,8,14,1990,2000,1990,1999
437762,,grahov001tho,NA,Grahovac,Mike,Thomas Michael,,,1968,9,21,1989,1991,NA,NA
115040,grangje01,grange001jef,1004944,Granger,Jeff,Jeffrey Adam,,,1971,12,16,1993,2000,1993,1997
115047,grantma01,grant-002mar,1004951,Grant,Mark,Mark Andrew,,,1963,10,24,1981,1995,1984,1993
437963,,gray--001den,NA,Gray,Dennis,Dennis Cragg,,,1969,12,24,1991,1998,NA,NA
440162,,green-001cha,NA,Green,Chad,Chad Elton,,,1975,6,28,1996,2005,NA,NA
444657,,green-004dar,NA,Green,Daryl,Daryl Dewayne,,,1968,4,15,1986,1991,NA,NA
115086,greenga01,green-001gar,1004994,Green,Gary,Gary Allan,,,1962,1,14,1985,1995,1986,1992
115094,greensh01,green-001sha,651,Green,Shawn,Shawn David,,,1972,11,10,1992,2007,1993,2007
115095,greenty01,green-001tyl,1005014,Green,Tyler,Tyler Scott,,,1970,2,18,1991,2000,1993,1998
214294,greenri02,greene001ric,1005010,Greene,Rick,Richard Douglas,,,1971,1,2,1993,2002,1999,1999
115099,greento01,greene001ira,1005013,Greene,Tommy,Ira Thomas,,,1967,4,6,1985,1997,1989,1997
115104,greenwi01,greene004wil,1005015,Greene,Willie,Willie Louis,,,1971,9,23,1989,2000,1992,2000
115108,greenmi01,greenw001mic,1005006,Greenwell,Mike,Michael Lewis,,,1963,7,18,1982,1997,1985,1996
133960,greisse01,greisi001set,467,Greisinger,Seth,Seth Adam,,,1975,7,29,1997,2013,1998,2005
115132,grievbe01,grieve001ben,1209,Grieve,Ben,Benjamin,,,1976,5,4,1994,2005,1997,2005
115135,griffke02,griffe002geo,327,Griffey,Ken,George Kenneth,Jr.,,1969,11,21,1987,2010,1989,2010
469867,,griffi001tyr,NA,Griffin,Ty,Tyrone Vontrace,,,1967,9,5,1989,1997,NA,NA
438128,,grigsb001mic,NA,Grigsby,Benji,Michael Benjamin,,,1970,12,2,1992,1998,NA,NA
276351,grillja01,grilli001jas,521,Grilli,Jason,Jason Michael,,,1976,11,11,1998,2017,2000,2017
436275,,grimes001mic,NA,Grimes,Mike,Michael Connors,,,1968,6,29,1989,1993,NA,NA
115174,grissma02,grisso002mar,652,Grissom,Marquis,Marquis Deon,,,1967,4,17,1988,2005,1989,2005
439612,,groppu001mic,NA,Groppuso,Mike,Michael Steven,,,1970,3,9,1991,1999,NA,NA
115209,grubeke01,gruber001kel,1005107,Gruber,Kelly,Kelly Wayne,,,1962,2,26,1980,1997,1984,1993
437810,,grunew001kei,NA,Grunewald,Keith,Keith Russell,,,1971,10,15,1993,1997,NA,NA
115217,gubicma01,gubicz001mar,1005115,Gubicza,Mark,Mark Steven,,,1962,8,14,1981,1997,1984,1997
115226,guettle01,guette001art,1005122,Guetterman,Lee,Arthur Lee,,,1958,11,22,1981,1997,1984,1996
115237,gulanmi01,gulan-001mic,1005132,Gulan,Mike,Michael Watts,,,1970,12,18,1992,2004,1997,2001
436267,,gumpf-001joh,NA,Gumpf,John,John T.,,,1971,7,5,1989,1992,NA,NA
115249,gundeer01,gunder001eri,1005144,Gunderson,Eric,Eric Andrew,,,1966,3,29,1987,2001,1990,2000
115263,gutieri01,gutier001ric,387,Gutierrez,Ricky,Ricardo,,,1970,5,23,1988,2006,1993,2004
115271,gwynnch01,gwynn-001chr,1005165,Gwynn,Chris,Christopher Karlton,,,1964,10,13,1985,1996,1987,1996
115270,gwynnto01,gwynn-001ant,1005166,Gwynn,Tony,Anthony Keith,Sr.,,1960,5,9,1981,2001,1982,2001
442889,,haas--001chr,NA,Haas,Chris,Christopher Mark,,,1976,10,15,1995,2003,NA,NA
115281,habyajo01,habyan001joh,1005176,Habyan,John,John Gabriel,,,1964,1,29,1982,1996,1985,1996
438925,,hahn--001cam,NA,Hahn,Cameron,Cameron K.,,,1978,12,20,1997,1997,NA,NA
115335,halldr01,hall--001and,1005242,Hall,Drew,Andrew Clark,,,1963,3,27,1984,1994,1986,1990
452947,,hall--001gar,NA,Hall,Grady,Gardner Carlile,,,1964,5,29,1986,1992,NA,NA
136880,hallaro01,hallad001har,1303,Halladay,Roy,Harry Leroy,,,1977,5,14,1995,2013,1998,2013
440069,,hallor001mat,NA,Halloran,Matt,Matthew Douglas,,,1978,3,3,1996,2001,NA,NA
115376,hamelbo01,hameli001rob,1005269,Hamelin,Bob,Robert James,,,1967,11,29,1988,1999,1993,1998
115383,hamiljo02,hamilt003joh,328,Hamilton,Joey,Johns Joseph,,,1970,9,9,1992,2004,1994,2003
115394,hammoje01,hammon002jef,687,Hammonds,Jeffrey,Jeffrey Bryan,,,1971,3,5,1993,2005,1993,2005
440038,,hampto001mic,NA,Hampton,Mike,Michael Anthony,,,1972,1,17,1994,1997,NA,NA
470577,,hancoc001chr,NA,Hancock,Chris,Christopher Martin,,,1969,9,12,1988,1996,NA,NA
407820,hancojo01,hancoc001jos,1606,Hancock,Josh,Joshua Morgan,,,1978,4,11,1998,2007,2002,2007
115404,hancole01,hancoc001lel,1005295,Hancock,Lee,Leland David,,,1967,6,27,1988,1997,1995,1996
115406,hancory01,hancoc001rya,1005296,Hancock,Ryan,Ryan Lee,,,1971,11,11,1993,1999,1996,1996
115415,haneych01,haney-001chr,192,Haney,Chris,Christopher Deane,,,1968,11,16,1990,2002,1991,2002
437271,,hanlon001law,NA,Hanlon,Larry,Lawrence D.,,,1970,1,23,1991,1994,NA,NA
457151,,hansel001car,NA,Hanselman,Carl,Carl Lester,,,1970,5,23,1988,1995,NA,NA
115436,hanseda01,hansen001dav,1403,Hansen,Dave,David Andrew,,,1968,11,24,1986,2005,1990,2005
115438,hanseje01,hansen001jed,1005327,Hansen,Jed,Jed Ramon,,,1972,8,19,1994,2006,1997,1999
559225,,hansen001rog,NA,Hansen,Roger,Roger Christian,,,1961,8,28,1980,1989,NA,NA
115446,hansoer01,hanson001eri,1005333,Hanson,Erik,Erik Brian,,,1965,5,18,1986,1999,1988,1998
440103,,hardge001mic,NA,Hardge,Mike,Michael Dwayne,,,1972,1,27,1990,2002,NA,NA
115459,hardtja01,hardtk001jas,1005347,Hardtke,Jason,Jason Robert,,,1971,9,15,1990,2001,1996,1998
115476,harkemi01,harkey001mic,1005363,Harkey,Mike,Michael Anthony,,,1966,10,25,1987,1997,1988,1997
115487,harnipe01,harnis001pet,1005374,Harnisch,Pete,Peter Thomas,,,1966,9,23,1987,2003,1988,2001
150135,harpetr01,harper001tra,1211,Harper,Travis,Travis Boyd,,,1976,5,21,1998,2006,2000,2006
115519,harrido01,harris005don,1005410,Harris,Donald,Donald,,,1967,11,12,1989,2000,1991,1993
115531,harrire01,harris001reg,1005428,Harris,Reggie,Reginald Allen,,,1968,8,12,1987,2006,1990,1999
437927,,harris005mic,NA,Harrison,Mike,Michael E.,,,1969,11,30,1991,1994,NA,NA
150420,harvich01,harvil002cha,915,Harville,Chad,Chad Ashley,,,1976,9,16,1997,2007,1999,2006
115587,haselbi01,haselm001wil,1254,Haselman,Bill,William Joseph,,,1966,5,25,1987,2003,1990,2003
136721,hatchch01,hatche001chr,1005487,Hatcher,Chris,Christopher Kenneth,,,1969,1,7,1990,2002,1998,1998
115608,hattesc01,hatteb001sco,916,Hatteberg,Scott,Scott Allen,,,1969,12,14,1991,2008,1995,2008
115623,hawblry01,hawbli001rya,1005508,Hawblitzel,Ryan,Ryan Wade,,,1971,4,30,1990,1999,1996,1996
115640,hayesch01,hayes-002cha,1005525,Hayes,Charlie,Charles Dewayne,,,1965,5,29,1983,2001,1988,2001
279566,haynena01,haynes001nat,17,Haynes,Nathan,Nathan Raymond Quinn,,,1979,9,7,1997,2008,2007,2008
115651,haywara01,haywar001ray,1005535,Hayward,Ray,Raymond Alton,,,1961,4,27,1983,1991,1986,1988
115673,hearrje01,hearro001jef,1005557,Hearron,Jeff,Jeffrey Vernon,,,1961,11,19,1983,1990,1985,1986
115683,heatone01,heaton001nea,1005568,Heaton,Neal,Neal,,,1960,3,3,1981,1993,1982,1993
282880,hebsobr01,hebson001bry,1761,Hebson,Bryan,Bryan McCall,,,1976,3,12,1998,2004,2003,2003
440678,,hecker001dou,NA,Hecker,Doug,Douglas,,,1971,1,21,1992,1997,NA,NA
150453,heiseri01,heiser001ric,1005602,Heiserman,Rick,Richard Michael,,,1973,2,22,1994,2002,1999,1999
115725,helfaer01,helfan001eri,1005610,Helfand,Eric,Eric James,,,1969,3,25,1990,1998,1993,1995
115727,helliri01,hellin001ric,58,Helling,Rick,Ricky Allen,,,1970,12,15,1992,2006,1994,2006
115732,heltoto01,helton001tod,432,Helton,Todd,Todd Lynn,,,1973,8,20,1995,2013,1997,2013
115737,hemonsc01,hemond001sco,1005621,Hemond,Scott,Scott Mathew,,,1965,11,18,1986,1999,1989,1995
441433,,hence-001sam,NA,Hence,Sam,Samuel Emeal,,,1971,1,3,1990,1995,NA,NA
443693,,hender005jam,NA,Henderson,Ken,James Kenley,,,1973,2,14,1995,1997,NA,NA
115750,hendero01,hender001rod,1005635,Henderson,Rod,Rodney Wood,,,1971,3,11,1992,2001,1994,1998
